page,koma,x,y,width,height
0,0,30,30,640,308
0,1,439,360,230,264
0,2,190,360,244,264
0,3,30,360,152,264
0,4,263,642,409,354
0,5,30,642,224,354
1,6,30,30,640,267
1,7,274,317,396,348
1,8,30,317,237,348
1,9,426,686,247,143
1,10,426,849,247,145
1,11,30,686,388,305
2,12,457,30,213,167
2,13,457,218,213,145
2,14,30,30,420,333
2,15,30,381,640,229
2,16,457,627,213,153
2,17,457,801,213,195
2,18,30,627,417,371
3,19,484,30,190,184
3,20,30,30,444,184
3,21,336,234,338,434
3,22,30,234,300,240
3,23,30,492,300,178
3,24,416,684,258,126
3,25,416,824,258,170
3,26,30,684,380,310
4,27,450,30,225,225
4,28,30,30,410,225
4,29,380,280,298,288
4,30,30,280,340,288
4,31,486,584,184,410
4,32,30,584,448,410
5,33,342,30,330,186
5,34,30,30,304,186
5,35,508,238,168,266
5,36,200,238,304,266
5,37,30,238,162,266
5,38,478,522,194,198
5,39,478,734,194,264
5,40,30,522,440,476
6,41,172,30,500,290
6,42,30,30,134,290
6,43,232,342,404,208
6,44,30,342,236,208
6,45,330,566,342,430
6,46,30,566,294,256
6,47,30,838,294,160
7,48,214,30,456,208
7,49,30,30,180,206
7,50,366,258,304,408
7,51,30,258,328,408
7,52,394,682,280,308
7,53,216,682,172,308
7,54,30,682,174,308
8,55,30,30,640,208
8,56,382,258,292,330
8,57,30,258,344,146
8,58,30,424,344,164
8,59,518,606,154,388
8,60,30,606,480,388
9,61,512,30,164,346
9,62,30,30,472,346
9,63,30,396,638,184
9,64,316,598,356,385
9,65,30,598,274,386
10,66,308,30,368,288
10,67,30,30,266,288
10,68,30,338,642,230
10,69,406,582,268,410
10,70,30,582,366,196
10,71,30,796,366,196
11,72,252,30,420,206
11,73,30,30,214,206
11,74,504,256,172,346
11,75,30,256,464,346
11,76,410,620,264,156
11,77,410,792,264,200
11,78,30,620,368,374
12,79,30,30,646,436
12,80,474,482,200,288
12,81,30,482,430,288
12,82,30,790,642,208
13,83,30,30,640,226
13,84,30,276,640,236
13,85,508,530,166,462
13,86,30,530,470,462
14,87,376,30,298,210
14,88,30,30,336,210
14,89,370,258,300,288
14,90,30,258,332,288
14,91,342,564,336,186
14,92,342,766,336,232
14,93,30,564,304,432
15,94,30,30,640,226
15,95,292,280,382,252
15,96,292,550,382,194
15,97,292,762,382,226
15,98,30,280,252,708
16,99,308,30,370,312
16,100,30,30,270,312
16,101,254,358,420,388
16,102,30,358,214,186
16,103,30,562,214,188
16,104,30,768,640,228
